date,building,entries
2026-03-01,HQ-Building,1
2026-03-02,HQ-Building,187
2026-03-03,HQ-Building,256
2026-03-04,HQ-Building,247
2026-03-05,HQ-Building,230
2026-03-06,HQ-Building,134
2026-03-07,HQ-Building,7
2026-03-08,HQ-Building,16
2026-03-09,HQ-Building,193
2026-03-10,HQ-Building,243
2026-03-11,HQ-Building,384
2026-03-12,HQ-Building,229
2026-03-13,HQ-Building,131
2026-03-14,HQ-Building,24
2026-03-15,HQ-Building,41
2026-03-16,HQ-Building,199
2026-03-17,HQ-Building,260
2026-03-18,HQ-Building,266
2026-03-19,HQ-Building,191
2026-03-20,HQ-Building,131
2026-03-21,HQ-Building,3
2026-03-22,HQ-Building,24
2026-03-23,HQ-Building,211
2026-03-24,HQ-Building,249
2026-03-25,HQ-Building,262
2026-03-26,HQ-Building,217
2026-03-27,HQ-Building,6
2026-03-28,HQ-Building,0
2026-03-29,HQ-Building,17
2026-03-30,HQ-Building,208
